sampleID,pigID,site,type,diet,NEC,description,litter,letter,group,NEC.group,group.NEC,feeding,farm,sex,dob,weight.b,dod,tod,euth,weight.d,pj.vh,pj.cd,di.vh,di.cd,co.cd,clin.st,clin.je,clin.il,clin.co,clin.nec,hist.pj,hist.di,hist.co,hist.nec,image.index,notes,clin.tot,hist.tot,clin.max,hist.max,clin.nec.c,hrs.after.feed,weight.gain
200F.cecum,200F,Colon,Contents,CSS,NEC,Fed,200,F,CSS,NEC-CSS,CSS-NEC,eg,prison,F,11/7/2012,900,11/14/2012,3,N,1498,267.35,79.75,341.3,65.75,246.3,1,4,4,2,NEC,3,3,2,NEC,,,11,8,4,3,NEC,111,143.6636637
200I.DI.tissue,200F,Ileum,Tissue,CSS,NEC,Fed,200,F,CSS,NEC-CSS,CSS-NEC,eg,prison,F,11/7/2012,900,11/14/2012,3,N,1498,267.35,79.75,341.3,65.75,246.3,1,4,4,2,NEC,3,3,2,NEC,,,11,8,4,3,NEC,111,143.6636637
200P.cecum,200P,Colon,Contents,CSS,NEC,Fed,200,P,CSS,NEC-CSS,CSS-NEC,eg,prison,F,11/7/2012,1268,11/14/2012,6,N,1999,249.65,88.85,250.1,118.25,290.7,4,5,6,5,NEC,3,2,2,NEC,,"necrotic, pale, dilated loops, especially PJ, possible perf of stomach",20,7,6,3,NEC,114,121.368089
200P.DI.tissue,200P,Ileum,Tissue,CSS,NEC,Fed,200,P,CSS,NEC-CSS,CSS-NEC,eg,prison,F,11/7/2012,1268,11/14/2012,6,N,1999,249.65,88.85,250.1,118.25,290.7,4,5,6,5,NEC,3,2,2,NEC,,"necrotic, pale, dilated loops, especially PJ, possible perf of stomach",20,7,6,3,NEC,114,121.368089
200P.colon.tissue,200P,Colon,Tissue,CSS,NEC,Fed,200,P,CSS,NEC-CSS,CSS-NEC,eg,prison,F,11/7/2012,1268,11/14/2012,6,N,1999,249.65,88.85,250.1,118.25,290.7,4,5,6,5,NEC,3,2,2,NEC,,"necrotic, pale, dilated loops, especially PJ, possible perf of stomach",20,7,6,3,NEC,114,121.368089
204A.colon,204A,Colon,Contents,Newborn,Healthy,Newborn,204,A,NEW,NEW,NEW,NA,prison,M,2/20/2013,NA,2/20/2013,NA,NA,NA,390,84,556,101,252,NA,NA,NA,NA,NA,NA,NA,NA,NA,,,NA,NA,NA,NA,NA,NA,NA
204A.colon.tissue,204A,Colon,Tissue,Newborn,Healthy,Newborn,204,A,NEW,NEW,NEW,NA,prison,M,2/20/2013,NA,2/20/2013,NA,NA,NA,390,84,556,101,252,NA,NA,NA,NA,NA,NA,NA,NA,NA,,,NA,NA,NA,NA,NA,NA,NA
204A.Ile,204A,Ileum,Contents,Newborn,Healthy,Newborn,204,A,NEW,NEW,NEW,NA,prison,M,2/20/2013,NA,2/20/2013,NA,NA,NA,390,84,556,101,252,NA,NA,NA,NA,NA,NA,NA,NA,NA,,,NA,NA,NA,NA,NA,NA,NA
204A.stom.1,204A,Stomach,Contents,Newborn,Healthy,Newborn,204,A,NEW,NEW,NEW,NA,prison,M,2/20/2013,NA,2/20/2013,NA,NA,NA,390,84,556,101,252,NA,NA,NA,NA,NA,NA,NA,NA,NA,,,NA,NA,NA,NA,NA,NA,NA
204A.stom.2,204A,Stomach,Contents,Newborn,Healthy,Newborn,204,A,NEW,NEW,NEW,NA,prison,M,2/20/2013,NA,2/20/2013,NA,NA,NA,390,84,556,101,252,NA,NA,NA,NA,NA,NA,NA,NA,NA,,,NA,NA,NA,NA,NA,NA,NA
204A.DI.tissue,204A,Ileum,Tissue,Newborn,Healthy,Newborn,204,A,NEW,NEW,NEW,NA,prison,M,2/20/2013,NA,2/20/2013,NA,NA,NA,390,84,556,101,252,NA,NA,NA,NA,NA,NA,NA,NA,NA,,,NA,NA,NA,NA,NA,NA,NA
204B.colon.tissue,204B,Colon,Tissue,MIX,NEC,Fed,204,B,MIX,NEC-MIX,MIX-NEC,eg,prison,M,2/20/2013,801,2/26/2013,13,N,1175,270,50,405,64,165,6,5,6,5,NEC,3,2,1,NEC,,,22,6,6,3,NEC,97,115.525696
204B.colon,204B,Colon,Contents,MIX,NEC,Fed,204,B,MIX,NEC-MIX,MIX-NEC,eg,prison,M,2/20/2013,801,2/26/2013,13,N,1175,270,50,405,64,165,6,5,6,5,NEC,3,2,1,NEC,,,22,6,6,3,NEC,97,115.525696
204B.DI,204B,Ileum,Contents,MIX,NEC,Fed,204,B,MIX,NEC-MIX,MIX-NEC,eg,prison,M,2/20/2013,801,2/26/2013,13,N,1175,270,50,405,64,165,6,5,6,5,NEC,3,2,1,NEC,,,22,6,6,3,NEC,97,115.525696
204B.DI.tissue,204B,Ileum,Tissue,MIX,NEC,Fed,204,B,MIX,NEC-MIX,MIX-NEC,eg,prison,M,2/20/2013,801,2/26/2013,13,N,1175,270,50,405,64,165,6,5,6,5,NEC,3,2,1,NEC,,,22,6,6,3,NEC,97,115.525696
204B.stom,204B,Stomach,Contents,MIX,NEC,Fed,204,B,MIX,NEC-MIX,MIX-NEC,eg,prison,M,2/20/2013,801,2/26/2013,13,N,1175,270,50,405,64,165,6,5,6,5,NEC,3,2,1,NEC,,,22,6,6,3,NEC,97,115.525696
204C.colon,204C,Colon,Contents,CSS,NEC,Fed,204,C,CSS,NEC-CSS,CSS-NEC,eg,prison,M,2/20/2013,806,2/24/2013,21.5,N,956,230,64,209,78,NA,4,4,5,6,NEC,2,3,4,NEC,,No villi in colon,19,9,6,4,NEC,57.5,77.67828245
204C.colon.tissue,204C,Colon,Tissue,CSS,NEC,Fed,204,C,CSS,NEC-CSS,CSS-NEC,eg,prison,M,2/20/2013,806,2/24/2013,21.5,N,956,230,64,209,78,NA,4,4,5,6,NEC,2,3,4,NEC,,No villi in colon,19,9,6,4,NEC,57.5,77.67828245
204C.DI,204C,Ileum,Contents,CSS,NEC,Fed,204,C,CSS,NEC-CSS,CSS-NEC,eg,prison,M,2/20/2013,806,2/24/2013,21.5,N,956,230,64,209,78,NA,4,4,5,6,NEC,2,3,4,NEC,,No villi in colon,19,9,6,4,NEC,57.5,77.67828245
204C.DI.tissue,204C,Ileum,Tissue,CSS,NEC,Fed,204,C,CSS,NEC-CSS,CSS-NEC,eg,prison,M,2/20/2013,806,2/24/2013,21.5,N,956,230,64,209,78,NA,4,4,5,6,NEC,2,3,4,NEC,,No villi in colon,19,9,6,4,NEC,57.5,77.67828245
204C.stom,204C,Stomach,Contents,CSS,NEC,Fed,204,C,CSS,NEC-CSS,CSS-NEC,eg,prison,M,2/20/2013,806,2/24/2013,21.5,N,956,230,64,209,78,NA,4,4,5,6,NEC,2,3,4,NEC,,No villi in colon,19,9,6,4,NEC,57.5,77.67828245
204D.stom,204D,Stomach,Contents,MIX,NEC,Fed,204,D,MIX,NEC-MIX,MIX-NEC,eg,prison,F,2/20/2013,891,2/27/2013,9,Y,1500,264,97,213,100,136,1,3,6,4,NEC,3,2,2,NEC,,,14,7,6,3,NEC,117,140.2054735
204D.colon,204D,Colon,Contents,MIX,NEC,Fed,204,D,MIX,NEC-MIX,MIX-NEC,eg,prison,F,2/20/2013,891,2/27/2013,9,Y,1500,264,97,213,100,136,1,3,6,4,NEC,3,2,2,NEC,,,14,7,6,3,NEC,117,140.2054735
204D.colon.tissue,204D,Colon,Tissue,MIX,NEC,Fed,204,D,MIX,NEC-MIX,MIX-NEC,eg,prison,F,2/20/2013,891,2/27/2013,9,Y,1500,264,97,213,100,136,1,3,6,4,NEC,3,2,2,NEC,,,14,7,6,3,NEC,117,140.2054735
204D.DI.tissue,204D,Ileum,Tissue,MIX,NEC,Fed,204,D,MIX,NEC-MIX,MIX-NEC,eg,prison,F,2/20/2013,891,2/27/2013,9,Y,1500,264,97,213,100,136,1,3,6,4,NEC,3,2,2,NEC,,,14,7,6,3,NEC,117,140.2054735
204D.DI,204D,Ileum,Contents,MIX,NEC,Fed,204,D,MIX,NEC-MIX,MIX-NEC,eg,prison,F,2/20/2013,891,2/27/2013,9,Y,1500,264,97,213,100,136,1,3,6,4,NEC,3,2,2,NEC,,,14,7,6,3,NEC,117,140.2054735
204E.colon,204E,Colon,Contents,CSS,NEC,Fed,204,E,CSS,NEC-CSS,CSS-NEC,eg,prison,M,2/20/2013,728,2/25/2013,5.75,N,929,478,107,NA,86,149,4,4,5,5,NEC,2,4,3,NEC,,No villi in DI,18,9,5,4,NEC,65.75,100.7813479
204E.colon.tissue,204E,Colon,Tissue,CSS,NEC,Fed,204,E,CSS,NEC-CSS,CSS-NEC,eg,prison,M,2/20/2013,728,2/25/2013,5.75,N,929,478,107,NA,86,149,4,4,5,5,NEC,2,4,3,NEC,,No villi in DI,18,9,5,4,NEC,65.75,100.7813479
204E.DI,204E,Ileum,Contents,CSS,NEC,Fed,204,E,CSS,NEC-CSS,CSS-NEC,eg,prison,M,2/20/2013,728,2/25/2013,5.75,N,929,478,107,NA,86,149,4,4,5,5,NEC,2,4,3,NEC,,No villi in DI,18,9,5,4,NEC,65.75,100.7813479
204E.DI.tissue,204E,Ileum,Tissue,CSS,NEC,Fed,204,E,CSS,NEC-CSS,CSS-NEC,eg,prison,M,2/20/2013,728,2/25/2013,5.75,N,929,478,107,NA,86,149,4,4,5,5,NEC,2,4,3,NEC,,No villi in DI,18,9,5,4,NEC,65.75,100.7813479
204E.stom,204E,Stomach,Contents,CSS,NEC,Fed,204,E,CSS,NEC-CSS,CSS-NEC,eg,prison,M,2/20/2013,728,2/25/2013,5.75,N,929,478,107,NA,86,149,4,4,5,5,NEC,2,4,3,NEC,,No villi in DI,18,9,5,4,NEC,65.75,100.7813479
204F.colon,204F,Colon,Contents,Newborn,Healthy,Newborn,204,F,NEW,NEW,NEW,NA,prison,F,2/20/2013,NA,2/20/2013,NA,NA,NA,325,80,347,85,124,NA,NA,NA,NA,NA,NA,NA,NA,NA,,,NA,NA,NA,NA,NA,NA,NA
204F.colon.tissue,204F,Colon,Tissue,Newborn,Healthy,Newborn,204,F,NEW,NEW,NEW,NA,prison,F,2/20/2013,NA,2/20/2013,NA,NA,NA,325,80,347,85,124,NA,NA,NA,NA,NA,NA,NA,NA,NA,,,NA,NA,NA,NA,NA,NA,NA
204F.DI.tissue,204F,Ileum,Tissue,Newborn,Healthy,Newborn,204,F,NEW,NEW,NEW,NA,prison,F,2/20/2013,NA,2/20/2013,NA,NA,NA,325,80,347,85,124,NA,NA,NA,NA,NA,NA,NA,NA,NA,,,NA,NA,NA,NA,NA,NA,NA
204F.Ile,204F,Ileum,Contents,Newborn,Healthy,Newborn,204,F,NEW,NEW,NEW,NA,prison,F,2/20/2013,NA,2/20/2013,NA,NA,NA,325,80,347,85,124,NA,NA,NA,NA,NA,NA,NA,NA,NA,,,NA,NA,NA,NA,NA,NA,NA
204F.stom,204F,Stomach,Contents,Newborn,Healthy,Newborn,204,F,NEW,NEW,NEW,NA,prison,F,2/20/2013,NA,2/20/2013,NA,NA,NA,325,80,347,85,124,NA,NA,NA,NA,NA,NA,NA,NA,NA,,,NA,NA,NA,NA,NA,NA,NA
204G.DI.tissue,204G,Ileum,Tissue,LAC,Healthy,Fed,204,G,LAC,Healthy-LAC,LAC-Healthy,eg,prison,F,2/20/2013,923,2/27/2013,9.666666667,Y,1467,422,106,577,109,215,1,1,1,1,Healthy,0,0,1,Healthy,,,4,1,1,1,Healthy,117.6666667,120.2139838
204G.stom,204G,Stomach,Contents,LAC,Healthy,Fed,204,G,LAC,Healthy-LAC,LAC-Healthy,eg,prison,F,2/20/2013,923,2/27/2013,9.666666667,Y,1467,422,106,577,109,215,1,1,1,1,Healthy,0,0,1,Healthy,,,4,1,1,1,Healthy,117.6666667,120.2139838
204G.DI,204G,Ileum,Contents,LAC,Healthy,Fed,204,G,LAC,Healthy-LAC,LAC-Healthy,eg,prison,F,2/20/2013,923,2/27/2013,9.666666667,Y,1467,422,106,577,109,215,1,1,1,1,Healthy,0,0,1,Healthy,,,4,1,1,1,Healthy,117.6666667,120.2139838
204G.colon.tissue,204G,Colon,Tissue,LAC,Healthy,Fed,204,G,LAC,Healthy-LAC,LAC-Healthy,eg,prison,F,2/20/2013,923,2/27/2013,9.666666667,Y,1467,422,106,577,109,215,1,1,1,1,Healthy,0,0,1,Healthy,,,4,1,1,1,Healthy,117.6666667,120.2139838
204G.colon,204G,Colon,Contents,LAC,Healthy,Fed,204,G,LAC,Healthy-LAC,LAC-Healthy,eg,prison,F,2/20/2013,923,2/27/2013,9.666666667,Y,1467,422,106,577,109,215,1,1,1,1,Healthy,0,0,1,Healthy,,,4,1,1,1,Healthy,117.6666667,120.2139838
204H.DI.tissue,204H,Ileum,Tissue,LAC,Healthy,Fed,204,H,LAC,Healthy-LAC,LAC-Healthy,eg,prison,F,2/20/2013,953,2/27/2013,10.41666667,Y,1527,283,91,437,96,181,1,1,1,1,Healthy,1,0,1,Healthy,,,4,2,1,1,Healthy,118.4166667,122.0723771
204H.stom.1,204H,Stomach,Contents,LAC,Healthy,Fed,204,H,LAC,Healthy-LAC,LAC-Healthy,eg,prison,F,2/20/2013,953,2/27/2013,10.41666667,Y,1527,283,91,437,96,181,1,1,1,1,Healthy,1,0,1,Healthy,,,4,2,1,1,Healthy,118.4166667,122.0723771
204H.DI,204H,Ileum,Contents,LAC,Healthy,Fed,204,H,LAC,Healthy-LAC,LAC-Healthy,eg,prison,F,2/20/2013,953,2/27/2013,10.41666667,Y,1527,283,91,437,96,181,1,1,1,1,Healthy,1,0,1,Healthy,,,4,2,1,1,Healthy,118.4166667,122.0723771
204H.colon,204H,Colon,Contents,LAC,Healthy,Fed,204,H,LAC,Healthy-LAC,LAC-Healthy,eg,prison,F,2/20/2013,953,2/27/2013,10.41666667,Y,1527,283,91,437,96,181,1,1,1,1,Healthy,1,0,1,Healthy,,,4,2,1,1,Healthy,118.4166667,122.0723771
204H.colon.tissue,204H,Colon,Tissue,LAC,Healthy,Fed,204,H,LAC,Healthy-LAC,LAC-Healthy,eg,prison,F,2/20/2013,953,2/27/2013,10.41666667,Y,1527,283,91,437,96,181,1,1,1,1,Healthy,1,0,1,Healthy,,,4,2,1,1,Healthy,118.4166667,122.0723771
204I.DI.tissue,204I,Ileum,Tissue,LAC,Healthy,Fed,204,I,LAC,Healthy-LAC,LAC-Healthy,eg,prison,M,2/20/2013,1248,2/27/2013,10.91666667,Y,1947,250,99,532,96,196,1,1,1,1,Healthy,1,0,1,Healthy,,,4,2,1,1,Healthy,118.9166667,113.0397283
204I.colon,204I,Colon,Contents,LAC,Healthy,Fed,204,I,LAC,Healthy-LAC,LAC-Healthy,eg,prison,M,2/20/2013,1248,2/27/2013,10.91666667,Y,1947,250,99,532,96,196,1,1,1,1,Healthy,1,0,1,Healthy,,,4,2,1,1,Healthy,118.9166667,113.0397283
204I.stom,204I,Stomach,Contents,LAC,Healthy,Fed,204,I,LAC,Healthy-LAC,LAC-Healthy,eg,prison,M,2/20/2013,1248,2/27/2013,10.91666667,Y,1947,250,99,532,96,196,1,1,1,1,Healthy,1,0,1,Healthy,,,4,2,1,1,Healthy,118.9166667,113.0397283
204I.colon.tissue,204I,Colon,Tissue,LAC,Healthy,Fed,204,I,LAC,Healthy-LAC,LAC-Healthy,eg,prison,M,2/20/2013,1248,2/27/2013,10.91666667,Y,1947,250,99,532,96,196,1,1,1,1,Healthy,1,0,1,Healthy,,,4,2,1,1,Healthy,118.9166667,113.0397283
204I.DI,204I,Ileum,Contents,LAC,Healthy,Fed,204,I,LAC,Healthy-LAC,LAC-Healthy,eg,prison,M,2/20/2013,1248,2/27/2013,10.91666667,Y,1947,250,99,532,96,196,1,1,1,1,Healthy,1,0,1,Healthy,,,4,2,1,1,Healthy,118.9166667,113.0397283
204K.colon.tissue,204K,Colon,Tissue,MIX,Healthy,Fed,204,K,MIX,Healthy-MIX,MIX-Healthy,eg,prison,M,2/20/2013,1220,2/27/2013,11.5,Y,1850,350,123,468,129,172,1,1,1,1,Healthy,0,0,1,Healthy,,,4,1,1,1,Healthy,119.5,103.7108169
204K.stom,204K,Stomach,Contents,MIX,Healthy,Fed,204,K,MIX,Healthy-MIX,MIX-Healthy,eg,prison,M,2/20/2013,1220,2/27/2013,11.5,Y,1850,350,123,468,129,172,1,1,1,1,Healthy,0,0,1,Healthy,,,4,1,1,1,Healthy,119.5,103.7108169
204K.DI,204K,Ileum,Contents,MIX,Healthy,Fed,204,K,MIX,Healthy-MIX,MIX-Healthy,eg,prison,M,2/20/2013,1220,2/27/2013,11.5,Y,1850,350,123,468,129,172,1,1,1,1,Healthy,0,0,1,Healthy,,,4,1,1,1,Healthy,119.5,103.7108169
204K.DI.tissue,204K,Ileum,Tissue,MIX,Healthy,Fed,204,K,MIX,Healthy-MIX,MIX-Healthy,eg,prison,M,2/20/2013,1220,2/27/2013,11.5,Y,1850,350,123,468,129,172,1,1,1,1,Healthy,0,0,1,Healthy,,,4,1,1,1,Healthy,119.5,103.7108169
204K.colon,204K,Colon,Contents,MIX,Healthy,Fed,204,K,MIX,Healthy-MIX,MIX-Healthy,eg,prison,M,2/20/2013,1220,2/27/2013,11.5,Y,1850,350,123,468,129,172,1,1,1,1,Healthy,0,0,1,Healthy,,,4,1,1,1,Healthy,119.5,103.7108169
204L.colon,204L,Colon,Contents,LAC,Healthy,Fed,204,L,LAC,Healthy-LAC,LAC-Healthy,eg,prison,F,2/20/2013,795,2/27/2013,12.16666667,Y,1135,457,128,612,146,187,1,1,1,1,Healthy,1,0,0,Healthy,,,4,1,1,1,Healthy,120.1666667,85.41595792
204L.stom,204L,Stomach,Contents,LAC,Healthy,Fed,204,L,LAC,Healthy-LAC,LAC-Healthy,eg,prison,F,2/20/2013,795,2/27/2013,12.16666667,Y,1135,457,128,612,146,187,1,1,1,1,Healthy,1,0,0,Healthy,,,4,1,1,1,Healthy,120.1666667,85.41595792
204L.colon.tissue,204L,Colon,Tissue,LAC,Healthy,Fed,204,L,LAC,Healthy-LAC,LAC-Healthy,eg,prison,F,2/20/2013,795,2/27/2013,12.16666667,Y,1135,457,128,612,146,187,1,1,1,1,Healthy,1,0,0,Healthy,,,4,1,1,1,Healthy,120.1666667,85.41595792
204L.DI,204L,Ileum,Contents,LAC,Healthy,Fed,204,L,LAC,Healthy-LAC,LAC-Healthy,eg,prison,F,2/20/2013,795,2/27/2013,12.16666667,Y,1135,457,128,612,146,187,1,1,1,1,Healthy,1,0,0,Healthy,,,4,1,1,1,Healthy,120.1666667,85.41595792
204H.stom.2,204M,Stomach,Contents,CSS,Healthy,Fed,204,M,CSS,Healthy-CSS,CSS-Healthy,eg,prison,F,2/20/2013,1103,2/27/2013,13.43333333,Y,1720,434,120,447,135,182,1,1,1,1,Healthy,1,1,0,Healthy,,,4,2,1,1,Healthy,121.4333333,110.5561679
204M.colon.tissue,204M,Colon,Tissue,CSS,Healthy,Fed,204,M,CSS,Healthy-CSS,CSS-Healthy,eg,prison,F,2/20/2013,1103,2/27/2013,13.43333333,Y,1720,434,120,447,135,182,1,1,1,1,Healthy,1,1,0,Healthy,,,4,2,1,1,Healthy,121.4333333,110.5561679
204M.I,204M,Ileum,Contents,CSS,Healthy,Fed,204,M,CSS,Healthy-CSS,CSS-Healthy,eg,prison,F,2/20/2013,1103,2/27/2013,13.43333333,Y,1720,434,120,447,135,182,1,1,1,1,Healthy,1,1,0,Healthy,,,4,2,1,1,Healthy,121.4333333,110.5561679
204M.colon,204M,Colon,Contents,CSS,Healthy,Fed,204,M,CSS,Healthy-CSS,CSS-Healthy,eg,prison,F,2/20/2013,1103,2/27/2013,13.43333333,Y,1720,434,120,447,135,182,1,1,1,1,Healthy,1,1,0,Healthy,,,4,2,1,1,Healthy,121.4333333,110.5561679
204M.DI.tissue,204M,Ileum,Tissue,CSS,Healthy,Fed,204,M,CSS,Healthy-CSS,CSS-Healthy,eg,prison,F,2/20/2013,1103,2/27/2013,13.43333333,Y,1720,434,120,447,135,182,1,1,1,1,Healthy,1,1,0,Healthy,,,4,2,1,1,Healthy,121.4333333,110.5561679
204N.colon,204N,Colon,Contents,CSS,Healthy,Fed,204,N,CSS,Healthy-CSS,CSS-Healthy,eg,prison,M,2/20/2013,1029,2/27/2013,14,Y,1437,688,127,457,126,148,1,1,1,1,Healthy,0,0,0,Healthy,,,4,0,1,0,Healthy,122,78.00028677
204N.stom,204N,Stomach,Contents,CSS,Healthy,Fed,204,N,CSS,Healthy-CSS,CSS-Healthy,eg,prison,M,2/20/2013,1029,2/27/2013,14,Y,1437,688,127,457,126,148,1,1,1,1,Healthy,0,0,0,Healthy,,,4,0,1,0,Healthy,122,78.00028677
204N.colon.tissue,204N,Colon,Tissue,CSS,Healthy,Fed,204,N,CSS,Healthy-CSS,CSS-Healthy,eg,prison,M,2/20/2013,1029,2/27/2013,14,Y,1437,688,127,457,126,148,1,1,1,1,Healthy,0,0,0,Healthy,,,4,0,1,0,Healthy,122,78.00028677
204N.DI.tissue,204N,Ileum,Tissue,CSS,Healthy,Fed,204,N,CSS,Healthy-CSS,CSS-Healthy,eg,prison,M,2/20/2013,1029,2/27/2013,14,Y,1437,688,127,457,126,148,1,1,1,1,Healthy,0,0,0,Healthy,,,4,0,1,0,Healthy,122,78.00028677
204N.Ile,204N,Ileum,Contents,CSS,Healthy,Fed,204,N,CSS,Healthy-CSS,CSS-Healthy,eg,prison,M,2/20/2013,1029,2/27/2013,14,Y,1437,688,127,457,126,148,1,1,1,1,Healthy,0,0,0,Healthy,,,4,0,1,0,Healthy,122,78.00028677
204P.colon,204P,Colon,Contents,MIX,Healthy,Fed,204,P,MIX,Healthy-MIX,MIX-Healthy,eg,prison,M,2/20/2013,937,2/27/2013,14.38333333,Y,1479,300,118,550,178,166,1,1,1,2,Healthy,0,1,0,Healthy,,,5,1,2,1,Healthy,122.3833333,113.4354138
204P.colon.tissue,204P,Colon,Tissue,MIX,Healthy,Fed,204,P,MIX,Healthy-MIX,MIX-Healthy,eg,prison,M,2/20/2013,937,2/27/2013,14.38333333,Y,1479,300,118,550,178,166,1,1,1,2,Healthy,0,1,0,Healthy,,,5,1,2,1,Healthy,122.3833333,113.4354138
204P.Ile,204P,Ileum,Contents,MIX,Healthy,Fed,204,P,MIX,Healthy-MIX,MIX-Healthy,eg,prison,M,2/20/2013,937,2/27/2013,14.38333333,Y,1479,300,118,550,178,166,1,1,1,2,Healthy,0,1,0,Healthy,,,5,1,2,1,Healthy,122.3833333,113.4354138
204P.Ile.tissue,204P,Ileum,Tissue,MIX,Healthy,Fed,204,P,MIX,Healthy-MIX,MIX-Healthy,eg,prison,M,2/20/2013,937,2/27/2013,14.38333333,Y,1479,300,118,550,178,166,1,1,1,2,Healthy,0,1,0,Healthy,,,5,1,2,1,Healthy,122.3833333,113.4354138
204P.stom,204P,Stomach,Contents,MIX,Healthy,Fed,204,P,MIX,Healthy-MIX,MIX-Healthy,eg,prison,M,2/20/2013,937,2/27/2013,14.38333333,Y,1479,300,118,550,178,166,1,1,1,2,Healthy,0,1,0,Healthy,,,5,1,2,1,Healthy,122.3833333,113.4354138
205A.Ile.tissue,205A,Ileum,Tissue,Newborn,Healthy,Newborn,205,A,NEW,NEW,NEW,NA,prison,F,2/21/2013,NA,2/21/2013,NA,NA,NA,452,78,433,115,232,NA,NA,NA,NA,NA,NA,NA,NA,NA,,,NA,NA,NA,NA,NA,NA,NA
205A.Ile,205A,Ileum,Contents,Newborn,Healthy,Newborn,205,A,NEW,NEW,NEW,NA,prison,F,2/21/2013,NA,2/21/2013,NA,NA,NA,452,78,433,115,232,NA,NA,NA,NA,NA,NA,NA,NA,NA,,,NA,NA,NA,NA,NA,NA,NA
205A.stom.1,205A,Stomach,Contents,Newborn,Healthy,Newborn,205,A,NEW,NEW,NEW,NA,prison,F,2/21/2013,NA,2/21/2013,NA,NA,NA,452,78,433,115,232,NA,NA,NA,NA,NA,NA,NA,NA,NA,,,NA,NA,NA,NA,NA,NA,NA
205A.colon.tissue,205A,Colon,Tissue,Newborn,Healthy,Newborn,205,A,NEW,NEW,NEW,NA,prison,F,2/21/2013,NA,2/21/2013,NA,NA,NA,452,78,433,115,232,NA,NA,NA,NA,NA,NA,NA,NA,NA,,,NA,NA,NA,NA,NA,NA,NA
205A.colon,205A,Colon,Contents,Newborn,Healthy,Newborn,205,A,NEW,NEW,NEW,NA,prison,F,2/21/2013,NA,2/21/2013,NA,NA,NA,452,78,433,115,232,NA,NA,NA,NA,NA,NA,NA,NA,NA,,,NA,NA,NA,NA,NA,NA,NA
205B.stom,205B,Stomach,Contents,CSS,Healthy,Fed,205,B,CSS,Healthy-CSS,CSS-Healthy,eg,prison,F,2/21/2013,1165,2/28/2013,10,Y,1815,467,139,506,177,146,1,1,1,1,Healthy,0,0,0,Healthy,DSCF1172.jpg,,4,0,1,0,Healthy,118,113.4793046
205B.colon,205B,Colon,Contents,CSS,Healthy,Fed,205,B,CSS,Healthy-CSS,CSS-Healthy,eg,prison,F,2/21/2013,1165,2/28/2013,10,Y,1815,467,139,506,177,146,1,1,1,1,Healthy,0,0,0,Healthy,DSCF1172.jpg,,4,0,1,0,Healthy,118,113.4793046
205B.I,205B,Ileum,Contents,CSS,Healthy,Fed,205,B,CSS,Healthy-CSS,CSS-Healthy,eg,prison,F,2/21/2013,1165,2/28/2013,10,Y,1815,467,139,506,177,146,1,1,1,1,Healthy,0,0,0,Healthy,DSCF1172.jpg,,4,0,1,0,Healthy,118,113.4793046
