sampleID,pigID,site,type,diet,NEC,description,litter,letter,group,NEC.group,group.NEC,feeding,farm,sex,dob,weight.b,dod,tod,euth,weight.d,pj.vh,pj.cd,di.vh,di.cd,co.cd,clin.st,clin.je,clin.il,clin.co,clin.nec,hist.pj,hist.di,hist.co,hist.nec,image.index,notes,clin.tot,hist.tot,clin.max,hist.max,clin.nec.c,hrs.after.feed,weight.gain
205B.colon.tissue,205B,Colon,Tissue,CSS,Healthy,Fed,205,B,CSS,Healthy-CSS,CSS-Healthy,eg,prison,F,2/21/2013,1165,2/28/2013,10,Y,1815,467,139,506,177,146,1,1,1,1,Healthy,0,0,0,Healthy,DSCF1172.jpg,,4,0,1,0,Healthy,118,113.4793046
205B.DI.tissue,205B,Ileum,Tissue,CSS,Healthy,Fed,205,B,CSS,Healthy-CSS,CSS-Healthy,eg,prison,F,2/21/2013,1165,2/28/2013,10,Y,1815,467,139,506,177,146,1,1,1,1,Healthy,0,0,0,Healthy,DSCF1172.jpg,,4,0,1,0,Healthy,118,113.4793046
205C.colon.tissue,205C,Colon,Tissue,LAC,Healthy,Fed,205,C,LAC,Healthy-LAC,LAC-Healthy,eg,prison,F,2/21/2013,851,2/28/2013,10.75,Y,1295,425,105,428,132,146,1,1,1,1,Healthy,1,1,0,Healthy,,,4,2,1,1,Healthy,118.75,105.4462243
205C.DI.tissue,205C,Ileum,Tissue,LAC,Healthy,Fed,205,C,LAC,Healthy-LAC,LAC-Healthy,eg,prison,F,2/21/2013,851,2/28/2013,10.75,Y,1295,425,105,428,132,146,1,1,1,1,Healthy,1,1,0,Healthy,,,4,2,1,1,Healthy,118.75,105.4462243
205C.colon,205C,Colon,Contents,LAC,Healthy,Fed,205,C,LAC,Healthy-LAC,LAC-Healthy,eg,prison,F,2/21/2013,851,2/28/2013,10.75,Y,1295,425,105,428,132,146,1,1,1,1,Healthy,1,1,0,Healthy,,,4,2,1,1,Healthy,118.75,105.4462243
205C.I,205C,Ileum,Contents,LAC,Healthy,Fed,205,C,LAC,Healthy-LAC,LAC-Healthy,eg,prison,F,2/21/2013,851,2/28/2013,10.75,Y,1295,425,105,428,132,146,1,1,1,1,Healthy,1,1,0,Healthy,,,4,2,1,1,Healthy,118.75,105.4462243
205C.stom,205C,Stomach,Contents,LAC,Healthy,Fed,205,C,LAC,Healthy-LAC,LAC-Healthy,eg,prison,F,2/21/2013,851,2/28/2013,10.75,Y,1295,425,105,428,132,146,1,1,1,1,Healthy,1,1,0,Healthy,,,4,2,1,1,Healthy,118.75,105.4462243
205D.colon,205D,Colon,Contents,MIX,Healthy,Fed,205,D,MIX,Healthy-MIX,MIX-Healthy,eg,prison,M,2/21/2013,1012,2/28/2013,11.25,Y,1459,402,131,503,155,160,1,1,1,1,Healthy,0,0,0,Healthy,,,4,0,1,0,Healthy,119.25,88.89551794
205D.DI.tissue,205D,Ileum,Tissue,MIX,Healthy,Fed,205,D,MIX,Healthy-MIX,MIX-Healthy,eg,prison,M,2/21/2013,1012,2/28/2013,11.25,Y,1459,402,131,503,155,160,1,1,1,1,Healthy,0,0,0,Healthy,,,4,0,1,0,Healthy,119.25,88.89551794
205D.colon.tissue,205D,Colon,Tissue,MIX,Healthy,Fed,205,D,MIX,Healthy-MIX,MIX-Healthy,eg,prison,M,2/21/2013,1012,2/28/2013,11.25,Y,1459,402,131,503,155,160,1,1,1,1,Healthy,0,0,0,Healthy,,,4,0,1,0,Healthy,119.25,88.89551794
205D.stom,205D,Stomach,Contents,MIX,Healthy,Fed,205,D,MIX,Healthy-MIX,MIX-Healthy,eg,prison,M,2/21/2013,1012,2/28/2013,11.25,Y,1459,402,131,503,155,160,1,1,1,1,Healthy,0,0,0,Healthy,,,4,0,1,0,Healthy,119.25,88.89551794
205D.I,205D,Ileum,Contents,MIX,Healthy,Fed,205,D,MIX,Healthy-MIX,MIX-Healthy,eg,prison,M,2/21/2013,1012,2/28/2013,11.25,Y,1459,402,131,503,155,160,1,1,1,1,Healthy,0,0,0,Healthy,,,4,0,1,0,Healthy,119.25,88.89551794
205E.DI.tissue,205E,Ileum,Tissue,LAC,Healthy,Fed,205,E,LAC,Healthy-LAC,LAC-Healthy,eg,prison,F,2/21/2013,955,2/28/2013,11.91666667,Y,1498,NA,NA,NA,NA,NA,1,1,1,1,Healthy,0,0,1,Healthy,,Slides missing,4,1,1,1,Healthy,119.9166667,113.7963027
205E.colon,205E,Colon,Contents,LAC,Healthy,Fed,205,E,LAC,Healthy-LAC,LAC-Healthy,eg,prison,F,2/21/2013,955,2/28/2013,11.91666667,Y,1498,NA,NA,NA,NA,NA,1,1,1,1,Healthy,0,0,1,Healthy,,Slides missing,4,1,1,1,Healthy,119.9166667,113.7963027
205E.I,205E,Ileum,Contents,LAC,Healthy,Fed,205,E,LAC,Healthy-LAC,LAC-Healthy,eg,prison,F,2/21/2013,955,2/28/2013,11.91666667,Y,1498,NA,NA,NA,NA,NA,1,1,1,1,Healthy,0,0,1,Healthy,,Slides missing,4,1,1,1,Healthy,119.9166667,113.7963027
205E.stom,205E,Stomach,Contents,LAC,Healthy,Fed,205,E,LAC,Healthy-LAC,LAC-Healthy,eg,prison,F,2/21/2013,955,2/28/2013,11.91666667,Y,1498,NA,NA,NA,NA,NA,1,1,1,1,Healthy,0,0,1,Healthy,,Slides missing,4,1,1,1,Healthy,119.9166667,113.7963027
205E.colon.tissue,205E,Colon,Tissue,LAC,Healthy,Fed,205,E,LAC,Healthy-LAC,LAC-Healthy,eg,prison,F,2/21/2013,955,2/28/2013,11.91666667,Y,1498,NA,NA,NA,NA,NA,1,1,1,1,Healthy,0,0,1,Healthy,,Slides missing,4,1,1,1,Healthy,119.9166667,113.7963027
205F.stom,205F,Stomach,Contents,Newborn,Healthy,Newborn,205,F,NEW,NEW,NEW,NA,prison,M,2/21/2013,NA,2/21/2013,NA,NA,NA,423,92,410,149,128,NA,NA,NA,NA,NA,NA,NA,NA,NA,,,NA,NA,NA,NA,NA,NA,NA
205F.Ile,205F,Ileum,Contents,Newborn,Healthy,Newborn,205,F,NEW,NEW,NEW,NA,prison,M,2/21/2013,NA,2/21/2013,NA,NA,NA,423,92,410,149,128,NA,NA,NA,NA,NA,NA,NA,NA,NA,,,NA,NA,NA,NA,NA,NA,NA
205F.Ile.tissue,205F,Ileum,Tissue,Newborn,Healthy,Newborn,205,F,NEW,NEW,NEW,NA,prison,M,2/21/2013,NA,2/21/2013,NA,NA,NA,423,92,410,149,128,NA,NA,NA,NA,NA,NA,NA,NA,NA,,,NA,NA,NA,NA,NA,NA,NA
205F.colon,205F,Colon,Contents,Newborn,Healthy,Newborn,205,F,NEW,NEW,NEW,NA,prison,M,2/21/2013,NA,2/21/2013,NA,NA,NA,423,92,410,149,128,NA,NA,NA,NA,NA,NA,NA,NA,NA,,,NA,NA,NA,NA,NA,NA,NA
205G.colon.tissue,205G,Colon,Tissue,LAC,Healthy,Fed,205,G,LAC,Healthy-LAC,LAC-Healthy,eg,prison,M,2/21/2013,1072,2/28/2013,12.5,Y,1507,386,89,550,115,NA,1,1,1,1,Healthy,1,0,NA,Healthy,,Colon slide missing,4,NA,1,NA,Healthy,120.5,80.81996656
205G.colon.2,205G,Colon,Contents,LAC,Healthy,Fed,205,G,LAC,Healthy-LAC,LAC-Healthy,eg,prison,M,2/21/2013,1072,2/28/2013,12.5,Y,1507,386,89,550,115,NA,1,1,1,1,Healthy,1,0,NA,Healthy,,Colon slide missing,4,NA,1,NA,Healthy,120.5,80.81996656
205G.stom.2,205G,Stomach,Contents,LAC,Healthy,Fed,205,G,LAC,Healthy-LAC,LAC-Healthy,eg,prison,M,2/21/2013,1072,2/28/2013,12.5,Y,1507,386,89,550,115,NA,1,1,1,1,Healthy,1,0,NA,Healthy,,Colon slide missing,4,NA,1,NA,Healthy,120.5,80.81996656
205G.DI.tissue,205G,Ileum,Tissue,LAC,Healthy,Fed,205,G,LAC,Healthy-LAC,LAC-Healthy,eg,prison,M,2/21/2013,1072,2/28/2013,12.5,Y,1507,386,89,550,115,NA,1,1,1,1,Healthy,1,0,NA,Healthy,,Colon slide missing,4,NA,1,NA,Healthy,120.5,80.81996656
205G.I,205G,Ileum,Contents,LAC,Healthy,Fed,205,G,LAC,Healthy-LAC,LAC-Healthy,eg,prison,M,2/21/2013,1072,2/28/2013,12.5,Y,1507,386,89,550,115,NA,1,1,1,1,Healthy,1,0,NA,Healthy,,Colon slide missing,4,NA,1,NA,Healthy,120.5,80.81996656
205G.stom.1,205G,Stomach,Contents,LAC,Healthy,Fed,205,G,LAC,Healthy-LAC,LAC-Healthy,eg,prison,M,2/21/2013,1072,2/28/2013,12.5,Y,1507,386,89,550,115,NA,1,1,1,1,Healthy,1,0,NA,Healthy,,Colon slide missing,4,NA,1,NA,Healthy,120.5,80.81996656
205G.colon.1,205G,Colon,Contents,LAC,Healthy,Fed,205,G,LAC,Healthy-LAC,LAC-Healthy,eg,prison,M,2/21/2013,1072,2/28/2013,12.5,Y,1507,386,89,550,115,NA,1,1,1,1,Healthy,1,0,NA,Healthy,,Colon slide missing,4,NA,1,NA,Healthy,120.5,80.81996656
205H.colon,205H,Colon,Contents,CSS,Healthy,Fed,205,H,CSS,Healthy-CSS,CSS-Healthy,eg,prison,F,2/21/2013,1040,2/27/2013,7.5,N,1345,627,84,536,115,148,1,1,1,2,Healthy,1,0,1,Healthy,,,5,2,2,1,Healthy,91.5,76.92307692
205H.ILE,205H,Ileum,Contents,CSS,Healthy,Fed,205,H,CSS,Healthy-CSS,CSS-Healthy,eg,prison,F,2/21/2013,1040,2/27/2013,7.5,N,1345,627,84,536,115,148,1,1,1,2,Healthy,1,0,1,Healthy,,,5,2,2,1,Healthy,91.5,76.92307692
205H.Stom,205H,Stomach,Contents,CSS,Healthy,Fed,205,H,CSS,Healthy-CSS,CSS-Healthy,eg,prison,F,2/21/2013,1040,2/27/2013,7.5,N,1345,627,84,536,115,148,1,1,1,2,Healthy,1,0,1,Healthy,,,5,2,2,1,Healthy,91.5,76.92307692
205I.stom,205I,Stomach,Contents,LAC,Healthy,Fed,205,I,LAC,Healthy-LAC,LAC-Healthy,eg,prison,F,2/21/2013,1061,2/28/2013,13.25,Y,1538,504,87,619,127,215,1,1,1,1,Healthy,0,0,1,Healthy,,,4,1,1,1,Healthy,121.25,88.9882138
205I.I,205I,Ileum,Contents,LAC,Healthy,Fed,205,I,LAC,Healthy-LAC,LAC-Healthy,eg,prison,F,2/21/2013,1061,2/28/2013,13.25,Y,1538,504,87,619,127,215,1,1,1,1,Healthy,0,0,1,Healthy,,,4,1,1,1,Healthy,121.25,88.9882138
205I.colon,205I,Colon,Contents,LAC,Healthy,Fed,205,I,LAC,Healthy-LAC,LAC-Healthy,eg,prison,F,2/21/2013,1061,2/28/2013,13.25,Y,1538,504,87,619,127,215,1,1,1,1,Healthy,0,0,1,Healthy,,,4,1,1,1,Healthy,121.25,88.9882138
205I.colon.tissue,205I,Colon,Tissue,LAC,Healthy,Fed,205,I,LAC,Healthy-LAC,LAC-Healthy,eg,prison,F,2/21/2013,1061,2/28/2013,13.25,Y,1538,504,87,619,127,215,1,1,1,1,Healthy,0,0,1,Healthy,,,4,1,1,1,Healthy,121.25,88.9882138
205I.DI.tissue,205I,Ileum,Tissue,LAC,Healthy,Fed,205,I,LAC,Healthy-LAC,LAC-Healthy,eg,prison,F,2/21/2013,1061,2/28/2013,13.25,Y,1538,504,87,619,127,215,1,1,1,1,Healthy,0,0,1,Healthy,,,4,1,1,1,Healthy,121.25,88.9882138
205K.colon.tissue,205K,Colon,Tissue,MIX,Healthy,Fed,205,K,MIX,Healthy-MIX,MIX-Healthy,eg,prison,M,2/21/2013,1123,2/28/2013,13.91666667,Y,1552,466,93,544,121,227,1,1,1,1,Healthy,0,0,0,Healthy,,,4,0,1,0,Healthy,121.9166667,75.20136048
205K.DI.tissue,205K,Ileum,Tissue,MIX,Healthy,Fed,205,K,MIX,Healthy-MIX,MIX-Healthy,eg,prison,M,2/21/2013,1123,2/28/2013,13.91666667,Y,1552,466,93,544,121,227,1,1,1,1,Healthy,0,0,0,Healthy,,,4,0,1,0,Healthy,121.9166667,75.20136048
205L.colon.2,205K,Colon,Contents,MIX,Healthy,Fed,205,K,MIX,Healthy-MIX,MIX-Healthy,eg,prison,M,2/21/2013,1123,2/28/2013,13.91666667,Y,1552,466,93,544,121,227,1,1,1,1,Healthy,0,0,0,Healthy,,,4,0,1,0,Healthy,121.9166667,75.20136048
205K.I,205K,Ileum,Contents,MIX,Healthy,Fed,205,K,MIX,Healthy-MIX,MIX-Healthy,eg,prison,M,2/21/2013,1123,2/28/2013,13.91666667,Y,1552,466,93,544,121,227,1,1,1,1,Healthy,0,0,0,Healthy,,,4,0,1,0,Healthy,121.9166667,75.20136048
205K.stom,205K,Stomach,Contents,MIX,Healthy,Fed,205,K,MIX,Healthy-MIX,MIX-Healthy,eg,prison,M,2/21/2013,1123,2/28/2013,13.91666667,Y,1552,466,93,544,121,227,1,1,1,1,Healthy,0,0,0,Healthy,,,4,0,1,0,Healthy,121.9166667,75.20136048
205L.DI.tissue,205L,Ileum,Tissue,MIX,Healthy,Fed,205,L,MIX,Healthy-MIX,MIX-Healthy,eg,prison,F,2/21/2013,779,2/28/2013,14.91666667,Y,1194,562,92,517,108,140,1,1,1,1,Healthy,0,0,0,Healthy,,,4,0,1,0,Healthy,122.9166667,104.0186245
205L.colon.tissue,205L,Colon,Tissue,MIX,Healthy,Fed,205,L,MIX,Healthy-MIX,MIX-Healthy,eg,prison,F,2/21/2013,779,2/28/2013,14.91666667,Y,1194,562,92,517,108,140,1,1,1,1,Healthy,0,0,0,Healthy,,,4,0,1,0,Healthy,122.9166667,104.0186245
205L.colon.1,205L,Colon,Contents,MIX,Healthy,Fed,205,L,MIX,Healthy-MIX,MIX-Healthy,eg,prison,F,2/21/2013,779,2/28/2013,14.91666667,Y,1194,562,92,517,108,140,1,1,1,1,Healthy,0,0,0,Healthy,,,4,0,1,0,Healthy,122.9166667,104.0186245
205L.I,205L,Ileum,Contents,MIX,Healthy,Fed,205,L,MIX,Healthy-MIX,MIX-Healthy,eg,prison,F,2/21/2013,779,2/28/2013,14.91666667,Y,1194,562,92,517,108,140,1,1,1,1,Healthy,0,0,0,Healthy,,,4,0,1,0,Healthy,122.9166667,104.0186245
205L.stom,205L,Stomach,Contents,MIX,Healthy,Fed,205,L,MIX,Healthy-MIX,MIX-Healthy,eg,prison,F,2/21/2013,779,2/28/2013,14.91666667,Y,1194,562,92,517,108,140,1,1,1,1,Healthy,0,0,0,Healthy,,,4,0,1,0,Healthy,122.9166667,104.0186245
205M.DI.tissue,205M,Ileum,Tissue,CSS,Healthy,Fed,205,M,CSS,Healthy-CSS,CSS-Healthy,eg,prison,M,2/21/2013,857,2/28/2013,15.25,Y,1208,537,78,470,145,156,1,1,1,1,Healthy,0,0,0,Healthy,DSCF1193.jpg,,4,0,1,0,Healthy,123.25,79.75365739
206B.colon,206B,Colon,Contents,MIX,NEC,Fed,206,B,MIX,NEC-MIX,MIX-NEC,eg,prison,F,2/22/2013,1253,2/28/2013,3,N,1734,252,69,167,53,149,1,3,4,1,NEC,2,3,1,NEC,,,9,6,4,3,NEC,87,105.89757
206B.colon.tissue,206B,Colon,Tissue,MIX,NEC,Fed,206,B,MIX,NEC-MIX,MIX-NEC,eg,prison,F,2/22/2013,1253,2/28/2013,3,N,1734,252,69,167,53,149,1,3,4,1,NEC,2,3,1,NEC,,,9,6,4,3,NEC,87,105.89757
206B.stom,206B,Stomach,Contents,MIX,NEC,Fed,206,B,MIX,NEC-MIX,MIX-NEC,eg,prison,F,2/22/2013,1253,2/28/2013,3,N,1734,252,69,167,53,149,1,3,4,1,NEC,2,3,1,NEC,,,9,6,4,3,NEC,87,105.89757
206B.I,206B,Ileum,Contents,MIX,NEC,Fed,206,B,MIX,NEC-MIX,MIX-NEC,eg,prison,F,2/22/2013,1253,2/28/2013,3,N,1734,252,69,167,53,149,1,3,4,1,NEC,2,3,1,NEC,,,9,6,4,3,NEC,87,105.89757
206D.DI.tissue.2,206B,Ileum,Tissue,MIX,NEC,Fed,206,B,MIX,NEC-MIX,MIX-NEC,eg,prison,F,2/22/2013,1253,2/28/2013,3,N,1734,252,69,167,53,149,1,3,4,1,NEC,2,3,1,NEC,,,9,6,4,3,NEC,87,105.89757
206C.colon.tissue,206C,Colon,Tissue,LAC,Healthy,Fed,206,C,LAC,Healthy-LAC,LAC-Healthy,eg,prison,F,2/22/2013,1207,2/28/2013,17.5,N,1799,450,116,500,174,211,1,1,1,1,Healthy,1,1,0,Healthy,,,4,2,1,1,Healthy,101.5,115.9737329
206C.DI.tissue,206C,Ileum,Tissue,LAC,Healthy,Fed,206,C,LAC,Healthy-LAC,LAC-Healthy,eg,prison,F,2/22/2013,1207,2/28/2013,17.5,N,1799,450,116,500,174,211,1,1,1,1,Healthy,1,1,0,Healthy,,,4,2,1,1,Healthy,101.5,115.9737329
206C.Ile,206C,Ileum,Contents,LAC,Healthy,Fed,206,C,LAC,Healthy-LAC,LAC-Healthy,eg,prison,F,2/22/2013,1207,2/28/2013,17.5,N,1799,450,116,500,174,211,1,1,1,1,Healthy,1,1,0,Healthy,,,4,2,1,1,Healthy,101.5,115.9737329
206C.colon,206C,Colon,Contents,LAC,Healthy,Fed,206,C,LAC,Healthy-LAC,LAC-Healthy,eg,prison,F,2/22/2013,1207,2/28/2013,17.5,N,1799,450,116,500,174,211,1,1,1,1,Healthy,1,1,0,Healthy,,,4,2,1,1,Healthy,101.5,115.9737329
206C.stom,206C,Stomach,Contents,LAC,Healthy,Fed,206,C,LAC,Healthy-LAC,LAC-Healthy,eg,prison,F,2/22/2013,1207,2/28/2013,17.5,N,1799,450,116,500,174,211,1,1,1,1,Healthy,1,1,0,Healthy,,,4,2,1,1,Healthy,101.5,115.9737329
206D.colon,206D,Colon,Contents,CSS,Healthy,Fed,206,D,CSS,Healthy-CSS,CSS-Healthy,eg,prison,F,2/22/2013,1222,2/28/2013,16.83333333,N,1719,420,80,438,180,182,1,1,1,1,Healthy,0,1,0,Healthy,,,4,1,1,1,Healthy,100.8333333,96.80377649
206D.DI.tissue.1,206D,Ileum,Tissue,CSS,Healthy,Fed,206,D,CSS,Healthy-CSS,CSS-Healthy,eg,prison,F,2/22/2013,1222,2/28/2013,16.83333333,N,1719,420,80,438,180,182,1,1,1,1,Healthy,0,1,0,Healthy,,,4,1,1,1,Healthy,100.8333333,96.80377649
206D.I,206D,Ileum,Contents,CSS,Healthy,Fed,206,D,CSS,Healthy-CSS,CSS-Healthy,eg,prison,F,2/22/2013,1222,2/28/2013,16.83333333,N,1719,420,80,438,180,182,1,1,1,1,Healthy,0,1,0,Healthy,,,4,1,1,1,Healthy,100.8333333,96.80377649
206D.stom,206D,Stomach,Contents,CSS,Healthy,Fed,206,D,CSS,Healthy-CSS,CSS-Healthy,eg,prison,F,2/22/2013,1222,2/28/2013,16.83333333,N,1719,420,80,438,180,182,1,1,1,1,Healthy,0,1,0,Healthy,,,4,1,1,1,Healthy,100.8333333,96.80377649
206H.DI.tissue,206H,Ileum,Tissue,CSS,NEC,Fed,206,H,CSS,NEC-CSS,CSS-NEC,eg,prison,M,2/22/2013,1187,2/28/2013,3,N,1675,0,132,181,107,171,1,1,1,1,Healthy,2,2,1,NEC,DSCF1164.jpg,,4,5,1,2,Healthy,87,113.4125439
206H.colon.tissue,206H,Colon,Tissue,CSS,NEC,Fed,206,H,CSS,NEC-CSS,CSS-NEC,eg,prison,M,2/22/2013,1187,2/28/2013,3,N,1675,0,132,181,107,171,1,1,1,1,Healthy,2,2,1,NEC,DSCF1164.jpg,,4,5,1,2,Healthy,87,113.4125439
206H.colon,206H,Colon,Contents,CSS,NEC,Fed,206,H,CSS,NEC-CSS,CSS-NEC,eg,prison,M,2/22/2013,1187,2/28/2013,3,N,1675,0,132,181,107,171,1,1,1,1,Healthy,2,2,1,NEC,DSCF1164.jpg,,4,5,1,2,Healthy,87,113.4125439
206H.I,206H,Ileum,Contents,CSS,NEC,Fed,206,H,CSS,NEC-CSS,CSS-NEC,eg,prison,M,2/22/2013,1187,2/28/2013,3,N,1675,0,132,181,107,171,1,1,1,1,Healthy,2,2,1,NEC,DSCF1164.jpg,,4,5,1,2,Healthy,87,113.4125439
206H.Stom,206H,Stomach,Contents,CSS,NEC,Fed,206,H,CSS,NEC-CSS,CSS-NEC,eg,prison,M,2/22/2013,1187,2/28/2013,3,N,1675,0,132,181,107,171,1,1,1,1,Healthy,2,2,1,NEC,DSCF1164.jpg,,4,5,1,2,Healthy,87,113.4125439
206I.colon,206I,Colon,Contents,Newborn,Healthy,Newborn,206,I,NEW,NEW,NEW,NA,prison,M,2/22/2013,NA,2/22/2013,NA,NA,NA,334,62,474,92,162,NA,NA,NA,NA,NA,NA,NA,NA,NA,,,NA,NA,NA,NA,NA,NA,NA
206I.colon.tissue,206I,Colon,Tissue,Newborn,Healthy,Newborn,206,I,NEW,NEW,NEW,NA,prison,M,2/22/2013,NA,2/22/2013,NA,NA,NA,334,62,474,92,162,NA,NA,NA,NA,NA,NA,NA,NA,NA,,,NA,NA,NA,NA,NA,NA,NA
206I.DI.tissue,206I,Ileum,Tissue,Newborn,Healthy,Newborn,206,I,NEW,NEW,NEW,NA,prison,M,2/22/2013,NA,2/22/2013,NA,NA,NA,334,62,474,92,162,NA,NA,NA,NA,NA,NA,NA,NA,NA,,,NA,NA,NA,NA,NA,NA,NA
206I.ILE,206I,Ileum,Contents,Newborn,Healthy,Newborn,206,I,NEW,NEW,NEW,NA,prison,M,2/22/2013,NA,2/22/2013,NA,NA,NA,334,62,474,92,162,NA,NA,NA,NA,NA,NA,NA,NA,NA,,,NA,NA,NA,NA,NA,NA,NA
206I.stom,206I,Stomach,Contents,Newborn,Healthy,Newborn,206,I,NEW,NEW,NEW,NA,prison,M,2/22/2013,NA,2/22/2013,NA,NA,NA,334,62,474,92,162,NA,NA,NA,NA,NA,NA,NA,NA,NA,,,NA,NA,NA,NA,NA,NA,NA
206L.stom,206L,Stomach,Contents,Newborn,Healthy,Newborn,206,L,NEW,NEW,NEW,NA,prison,M,2/22/2013,NA,2/22/2013,NA,NA,NA,406,70,499,90,134,NA,NA,NA,NA,NA,NA,NA,NA,NA,,,NA,NA,NA,NA,NA,NA,NA
206L.colon,206L,Colon,Contents,Newborn,Healthy,Newborn,206,L,NEW,NEW,NEW,NA,prison,M,2/22/2013,NA,2/22/2013,NA,NA,NA,406,70,499,90,134,NA,NA,NA,NA,NA,NA,NA,NA,NA,,,NA,NA,NA,NA,NA,NA,NA
206L.colon.tissue,206L,Colon,Tissue,Newborn,Healthy,Newborn,206,L,NEW,NEW,NEW,NA,prison,M,2/22/2013,NA,2/22/2013,NA,NA,NA,406,70,499,90,134,NA,NA,NA,NA,NA,NA,NA,NA,NA,,,NA,NA,NA,NA,NA,NA,NA
206L.DI.tissue,206L,Ileum,Tissue,Newborn,Healthy,Newborn,206,L,NEW,NEW,NEW,NA,prison,M,2/22/2013,NA,2/22/2013,NA,NA,NA,406,70,499,90,134,NA,NA,NA,NA,NA,NA,NA,NA,NA,,,NA,NA,NA,NA,NA,NA,NA
206L.Ile,206L,Ileum,Contents,Newborn,Healthy,Newborn,206,L,NEW,NEW,NEW,NA,prison,M,2/22/2013,NA,2/22/2013,NA,NA,NA,406,70,499,90,134,NA,NA,NA,NA,NA,NA,NA,NA,NA,,,NA,NA,NA,NA,NA,NA,NA
206M.colon.tissue,206M,Colon,Tissue,MIX,NEC,Fed,206,M,MIX,NEC-MIX,MIX-NEC,eg,prison,M,2/22/2013,1274,2/26/2013,12.25,N,1428,360,110,420,79,151,2,3,3,1,NEC,1,2,1,NEC,,,9,4,3,2,NEC,48.25,60.1264021
206M.I,206M,Ileum,Contents,MIX,NEC,Fed,206,M,MIX,NEC-MIX,MIX-NEC,eg,prison,M,2/22/2013,1274,2/26/2013,12.25,N,1428,360,110,420,79,151,2,3,3,1,NEC,1,2,1,NEC,,,9,4,3,2,NEC,48.25,60.1264021
206M.DI.tissue,206M,Ileum,Tissue,MIX,NEC,Fed,206,M,MIX,NEC-MIX,MIX-NEC,eg,prison,M,2/22/2013,1274,2/26/2013,12.25,N,1428,360,110,420,79,151,2,3,3,1,NEC,1,2,1,NEC,,,9,4,3,2,NEC,48.25,60.1264021
206M.colon,206M,Colon,Contents,MIX,NEC,Fed,206,M,MIX,NEC-MIX,MIX-NEC,eg,prison,M,2/22/2013,1274,2/26/2013,12.25,N,1428,360,110,420,79,151,2,3,3,1,NEC,1,2,1,NEC,,,9,4,3,2,NEC,48.25,60.1264021
206M.stom,206M,Stomach,Contents,MIX,NEC,Fed,206,M,MIX,NEC-MIX,MIX-NEC,eg,prison,M,2/22/2013,1274,2/26/2013,12.25,N,1428,360,110,420,79,151,2,3,3,1,NEC,1,2,1,NEC,,,9,4,3,2,NEC,48.25,60.1264021
212D.DI.tissue,212D,Ileum,Tissue,Newborn,Healthy,Newborn,212,D,NEW,NEW,NEW,NA,Rosenbaum,M,8/22/2013,NA,8/22/2013,NA,NA,NA,361,59,505,68,94,NA,NA,NA,NA,NA,NA,NA,NA,NA,,,NA,NA,NA,NA,NA,NA,NA
212D.colon.tissue,212D,Colon,Tissue,Newborn,Healthy,Newborn,212,D,NEW,NEW,NEW,NA,Rosenbaum,M,8/22/2013,NA,8/22/2013,NA,NA,NA,361,59,505,68,94,NA,NA,NA,NA,NA,NA,NA,NA,NA,,,NA,NA,NA,NA,NA,NA,NA
212D.DI,212D,Ileum,Contents,Newborn,Healthy,Newborn,212,D,NEW,NEW,NEW,NA,Rosenbaum,M,8/22/2013,NA,8/22/2013,NA,NA,NA,361,59,505,68,94,NA,NA,NA,NA,NA,NA,NA,NA,NA,,,NA,NA,NA,NA,NA,NA,NA
212D.colon,212D,Colon,Contents,Newborn,Healthy,Newborn,212,D,NEW,NEW,NEW,NA,Rosenbaum,M,8/22/2013,NA,8/22/2013,NA,NA,NA,361,59,505,68,94,NA,NA,NA,NA,NA,NA,NA,NA,NA,,,NA,NA,NA,NA,NA,NA,NA
