pigID,group,feeding,farm,sex,dob,weight.b,dod,tod,euth,weight.d,pj.vh,pj.cd,di.vh,di.cd,co.cd,clin.st,clin.je,clin.il,clin.co,clin.nec,hist.pj,hist.di,hist.co,hist.nec,image.index,notes
198A,CSS,eg,prison,M,2012-11-05,1515,2012-11-12,8:40,Y,2399,652,161.1,696.8888889,147.8888889,270.7,1,1,1,1,Healthy,0,0,0,Healthy,,
198B,CSS,eg,prison,F,2012-11-05,1321,2012-11-10,0:00,N,1830,0,67.6,0,124.9,152.5,4,6,6,6,NEC,4,4,3,NEC,,
198D,CSS,eg,prison,M,2012-11-05,1312,2012-11-12,9:45,Y,1981,897.05,129.55,694.3846154,129.3,235.35,1,1,1,1,Healthy,0,0,0,Healthy,,liver weighed after tissue obtained
199A,CSS,eg,prison,M,2012-11-06,1016,2012-11-13,8:45,Y,1535,631.5,125.45,961.45,154.8,264.4,1,1,1,1,Healthy,0,0,0,Healthy,,
199B,CSS,eg,prison,F,2012-11-06,1001,2012-11-09,0:00,N,1007,316.5714286,85.15,388.05,90.8,294.1,2,2,2,2,Healthy,3,2,1,NEC,,
199F,CSS,eg,prison,F,2012-11-06,852,2012-11-09,6:00,N,841,350.05,83.55,424.65,88.2,262.35,1,2,2,1,Healthy,2,1,1,NEC,,
199H,CSS,eg,prison,F,2012-11-06,607,2012-11-09,9:30,N,589,377.6,95.85,206,79,266.3,5,2,2,2,NEC,1,3,3,NEC,,
199K,CSS,eg,prison,F,2012-11-06,939,2012-11-13,9:45,Y,1501,391.1,102.35,857.05,123.7,251.55,1,1,1,1,Healthy,0,0,0,Healthy,,
199L,CSS,eg,prison,M,2012-11-06,1039,2012-11-13,10:10,Y,1522,454.9,126.15,943.85,140.75,269.05,1,1,1,1,Healthy,0,0,0,Healthy,,
199N,CSS,eg,prison,M,2012-11-06,941,2012-11-10,16:00,N,1156,229.7647059,86.6,0,0,199.85,5,6,6,6,NEC,3,4,3,NEC,,
200F,CSS,eg,prison,F,2012-11-07,900,2012-11-14,3:00,N,1498,267.35,79.75,341.3,65.75,246.3,1,4,4,2,NEC,3,3,2,NEC,,
200G,CSS,eg,prison,M,2012-11-07,1323,2012-11-14,8:40,Y,1912,732,121.75,804.65,121.8,256.75,1,1,1,1,Healthy,0,0,0,Healthy,,
200K,CSS,eg,prison,F,2012-11-07,1026,2012-11-09,16:00,N,995,559.5,81.4,547.65,85.45,299.5,1,4,3,1,NEC,2,1,2,NEC,,
200M,CSS,eg,prison,F,2012-11-07,1118,2012-11-14,7:45,N,1816,378.7,113.5,358.25,116.5,156.95,1,4,2,4,NEC,2,2,3,NEC,,
200P,CSS,eg,prison,F,2012-11-07,1268,2012-11-14,6:00,N,1999,249.65,88.85,250.1,118.25,290.7,4,5,6,5,NEC,3,2,2,NEC,,"necrotic, pale, dilated loops, especially PJ, possible perf of stomach"
200Q,CSS,eg,prison,F,2012-11-07,1412,2012-11-14,10:00,Y,2158,1013.5,98.3,1095.05,111.15,256.4,1,1,1,1,Healthy,0,0,0,Healthy,,flim on inner layer of stomach
204C,CSS,eg,prison,M,2013-02-20,806,2013-02-24,21:30,N,956,230,64,209,78,NA,4,4,5,6,NEC,2,3,4,NEC,,
204E,CSS,eg,prison,M,2013-02-20,728,2013-02-25,5:45,N,929,478,107,NA,86,149,4,4,5,5,NEC,2,4,3,NEC,,
204M,CSS,eg,prison,F,2013-02-20,1103,2013-02-27,13:26,Y,1720,434,120,447,135,182,1,1,1,1,Healthy,1,1,0,Healthy,,No villi in colon
204N,CSS,eg,prison,M,2013-02-20,1029,2013-02-27,14:00,Y,1437,688,127,457,126,148,1,1,1,1,Healthy,0,0,0,Healthy,,
205B,CSS,eg,prison,F,2013-02-21,1165,2013-02-28,10:00,Y,1815,467,139,506,177,146,1,1,1,1,Healthy,0,0,0,Healthy,,No villi in DI
205H,CSS,eg,prison,F,2013-02-21,1040,2013-02-27,7:30,N,1345,627,84,536,115,148,1,1,1,2,Healthy,1,0,1,Healthy,,
205M,CSS,eg,prison,M,2013-02-21,857,2013-02-28,15:15,Y,1208,537,78,470,145,156,1,1,1,1,Healthy,0,0,0,Healthy,,
206A,CSS,eg,prison,M,2013-02-22,1260,2013-02-26,6:00,N,1224,NA,NA,NA,NA,NA,1,1,1,1,Healthy,NA,NA,NA,NA,,
206D,CSS,eg,prison,F,2013-02-22,1222,2013-02-28,16:50,N,1719,420,80,438,180,182,1,1,1,1,Healthy,0,1,0,Healthy,,
206H,CSS,eg,prison,M,2013-02-22,1187,2013-02-28,3:00,N,1675,0,132,181,107,171,1,1,1,1,Healthy,2,2,1,NEC,,
212E,CSS,eg,Rosenbaum,F,2013-08-22,1165,2013-08-29,9:50,Y,1581,663,107,739,121,171,1,1,1,1,Healthy,0,0,0,Healthy,,
212H,CSS,eg,Rosenbaum,F,2013-08-22,1056,2013-08-29,10:25,Y,1563,554,81,769,114,224,1,1,1,1,Healthy,0,0,0,Healthy,,
212I,CSS,eg,Rosenbaum,M,2013-08-22,1280,2013-08-29,11:00,Y,1900,690,84,892,118,211,1,1,1,1,Healthy,0,0,0,Healthy,,
213G,CSS,eg,Rosenbaum,M,2013-08-26,958,2013-08-31,14:45,N,1118,444,84,NA,60,150,3,4,5,5,NEC,1,4,3,NEC,,
213K,CSS,eg,Rosenbaum,F,2013-08-26,771,2013-08-31,22:00,N,1133,330,68,NA,73,149,3,1,4,5,NEC,2,4,4,NEC,,
213N,CSS,eg,Rosenbaum,F,2013-08-26,845,2013-09-02,7:30,Y,1288,317,63,393,84,176,1,1,1,1,Healthy,0,0,0,Healthy,DSCF1172.jpg,
214A,CSS,eg,Rosenbaum,F,2013-09-19,800,2013-09-26,10:40,Y,1232,422,89,626,104,227,1,1,1,1,Healthy,0,0,0,Healthy,,
214C,CSS,eg,Rosenbaum,M,2013-09-19,945,2013-09-21,16:30,N,935,308,62,312,74,119,2,3,4,1,NEC,2,2,0,NEC,,
214G,CSS,eg,Rosenbaum,F,2013-09-19,986,2013-09-26,11:05,Y,1479,535,85,593,100,205,1,1,1,1,Healthy,0,0,0,Healthy,,Slides missing
214H,CSS,eg,Rosenbaum,F,2013-09-19,890,2013-09-26,11:37,Y,1360,533,83,602,103,212,1,1,1,6,NEC,0,0,3,NEC,,
214K,CSS,eg,Rosenbaum,M,2013-09-19,435,2013-09-21,15:00,N,432,269,63,102,48,297,3,3,4,3,NEC,2,3,2,NEC,,Colon slide missing
215C,CSS,eg,Rosenbaum,F,2013-09-20,1042,2013-09-26,9:10,Y,1519,535,86,644,108,207,1,1,1,1,Healthy,0,0,0,Healthy,,
215H,CSS,eg,Rosenbaum,M,2013-09-20,1085,2013-09-27,8:15,Y,1710,595,93,650,110,213,1,1,1,1,Healthy,0,0,0,Healthy,,
215I,CSS,eg,Rosenbaum,M,2013-09-20,894,2013-09-23,20:30,N,971,189,52,243,56,116,5,5,6,5,Healthy,4,4,4,Healthy,,
215K,CSS,eg,Rosenbaum,F,2013-09-20,1039,2013-09-25,18:20,N,1529,207,52,302,74,219,1,5,3,5,NEC,4,2,3,NEC,,
233E,CSS,eg,Rosenbaum,M,2014-11-07,578,2014-11-12,11:00,Y,697,444,97,212,83,287,1,1,1,1,Healthy,0,0,0,Healthy,DSCF1193.jpg,
233I,CSS,eg,Rosenbaum,M,2014-11-07,668,2014-11-11,14:30,N,820,457,88,490,91,234,1,2,4,1,NEC,1,0,1,Healthy,DSCF1068.jpg,"Blood from mouth, skin lesions, also cardiac and intestinal."
233K,CSS,eg,Rosenbaum,M,2014-11-07,1069,2014-11-14,10:00,Y,1545,720,93,633,98,194,1,2,2,3,NEC,0,0,2,NEC,,
233N,CSS,eg,Rosenbaum,F,2014-11-07,649,2014-11-10,23:30,Y,720,360,75,96,69,213,6,4,5,6,NEC,2,3,2,NEC,,
233P,CSS,eg,Rosenbaum,M,2014-11-07,905,2014-11-10,12:30,N,973,497,82,294,69,260,3,2,4,1,NEC,1,1,0,Healthy,,
234A,CSS,eg,Rosenbaum,M,2014-11-13,1048,2014-11-15,19:00,N,1011,,,,,,2,1,1,1,Healthy,,,,NA,,
234B,CSS,eg,Rosenbaum,F,2014-11-13,879,2014-11-18,15:30,Y,1155,,,,,,2,3,4,4,NEC,,,,NA,DSCF1164.jpg,
234D,CSS,eg,Rosenbaum,F,2014-11-13,1059,2014-11-17,13:25,Y,1301,,,,,,1,3,4,1,NEC,,,,NA,,
234E,CSS,eg,Rosenbaum,M,2014-11-13,1093,2014-11-15,18:00,N,1082,,,,,,1,1,1,1,Healthy,,,,NA,,"Blood from mouth, no NEC"
234L,CSS,eg,Rosenbaum,M,2014-11-13,1221,2014-11-15,23:00,N,1156,,,,,,2,3,3,3,NEC,,,,NA,,
248C,CSS,eg,Rosenbaum,M,2015-06-23,502,2015-06-27,1:00,,535,,,,,,5,2,2,3,NEC,,,,,,
248P,CSS,eg,Rosenbaum,M,2015-06-23,1053,2015-06-30,9:40,,1472,,,,,,1,1,1,1,Healthy,,,,,,Found dead.
249D,CSS,eg,Rosenbaum,F,2015-06-24,722,2015-06-29,18:50,,1097,,,,,,1,1,3,6,NEC,,,,,,Hole in stomach.
249N,CSS,eg,Rosenbaum,F,2015-06-24,896,2015-06-28,5:40,,1106,,,,,,5,4,5,5,NEC,,,,,,Ruptured stomach
204G,LAC,eg,prison,F,2013-02-20,923,2013-02-27,9:40,Y,1467,422,106,577,109,215,1,1,1,1,Healthy,0,0,1,Healthy,,
204H,LAC,eg,prison,F,2013-02-20,953,2013-02-27,10:25,Y,1527,283,91,437,96,181,1,1,1,1,Healthy,1,0,1,Healthy,,Time of death guessed based on others.
204I,LAC,eg,prison,M,2013-02-20,1248,2013-02-27,10:55,Y,1947,250,99,532,96,196,1,1,1,1,Healthy,1,0,1,Healthy,,
204L,LAC,eg,prison,F,2013-02-20,795,2013-02-27,12:10,Y,1135,457,128,612,146,187,1,1,1,1,Healthy,1,0,0,Healthy,,
205C,LAC,eg,prison,F,2013-02-21,851,2013-02-28,10:45,Y,1295,425,105,428,132,146,1,1,1,1,Healthy,1,1,0,Healthy,,
205E,LAC,eg,prison,F,2013-02-21,955,2013-02-28,11:55,Y,1498,NA,NA,NA,NA,NA,1,1,1,1,Healthy,0,0,1,Healthy,,
205G,LAC,eg,prison,M,2013-02-21,1072,2013-02-28,12:30,Y,1507,386,89,550,115,NA,1,1,1,1,Healthy,1,0,NA,Healthy,,
205I,LAC,eg,prison,F,2013-02-21,1061,2013-02-28,13:15,Y,1538,504,87,619,127,215,1,1,1,1,Healthy,0,0,1,Healthy,,No villi in DI
206C,LAC,eg,prison,F,2013-02-22,1207,2013-02-28,17:30,N,1799,450,116,500,174,211,1,1,1,1,Healthy,1,1,0,Healthy,,PJ slides missing assumed it was 213P mislabeled
206E,LAC,eg,prison,M,2013-02-22,1040,2013-02-27,8:30,N,1096,502,86,461,164,177,1,1,1,1,Healthy,1,0,0,Healthy,,
212B,LAC,eg,Rosenbaum,F,2013-08-22,956,2013-08-28,NA,NA,1396,313,68,214,58,141,5,5,5,5,NEC,2,4,3,NEC,,colon slide is abnormal
212C,LAC,eg,Rosenbaum,M,2013-08-22,1277,2013-08-26,6:50,N,1494,405,80,382,90,NA,4,5,5,5,Healthy,3,2,NA,Healthy,,
212G,LAC,eg,Rosenbaum,M,2013-08-22,1190,2013-08-29,9:12,Y,1886,611,86,718,111,330,1,1,1,1,Healthy,0,0,0,Healthy,,
213C,LAC,eg,Rosenbaum,M,2013-08-26,1049,2013-09-02,9:45,Y,1520,637,73,268,104,315,1,1,1,1,Healthy,1,0,0,Healthy,,No villi in DI
213E,LAC,eg,Rosenbaum,F,2013-08-26,823,2013-09-01,15:00,N,1219,225,65,323,80,208,1,4,5,5,NEC,2,2,0,NEC,,
213L,LAC,eg,Rosenbaum,F,2013-08-26,842,2013-08-31,6:00,N,1091,296,65,192,80,186,2,5,4,3,NEC,1,2,2,NEC,,colon slide abnormal
213M,LAC,eg,Rosenbaum,M,2013-08-26,765,2013-08-29,18:30,N,752,372,64,368,74,228,5,3,5,3,NEC,0,2,0,Healthy,,No villi in DI
214B,LAC,eg,Rosenbaum,M,2013-09-19,693,2013-09-26,7:24,Y,1063,417,74,603,94,216,1,1,1,1,Healthy,0,0,0,Healthy,,
214E,LAC,eg,Rosenbaum,F,2013-09-19,835,2013-09-26,7:55,Y,1396,267,82,209,94,NA,1,2,3,3,NEC,1,2,NA,NEC,,
214F,LAC,eg,Rosenbaum,M,2013-09-19,904,2013-09-26,8:28,Y,1508,369,91,588,105,261,1,1,1,1,Healthy,0,0,0,Healthy,,
214I,LAC,eg,Rosenbaum,F,2013-09-19,654,2013-09-26,9:00,N,1004,543,84,658,105,286,1,1,1,1,Healthy,1,0,0,Healthy,,
214L,LAC,eg,Rosenbaum,M,2013-09-19,1085,2013-09-26,9:35,N,1706,515,83,529,100,318,1,1,1,1,Healthy,0,0,0,Healthy,,
215B,LAC,eg,Rosenbaum,F,2013-09-20,1051,2013-09-27,7:40,Y,1661,540,92,625,106,241,1,1,1,1,Healthy,0,0,0,Healthy,,OG tube in trachea? Maybe aspirated 1st feed.
215E,LAC,eg,Rosenbaum,M,2013-09-20,989,2013-09-25,10:10,Y,1346,218,73,233,88,352,6,3,4,2,Healthy,3,3,3,Healthy,,"Damage in DI not many villi, inflammation in colon and looks abnormal"
215G,LAC,eg,Rosenbaum,F,2013-09-20,854,2013-09-24,4:00,N,996,322,59,250,94,312,4,3,3,1,NEC,2,3,2,NEC,,Colon slide missing
215L,LAC,eg,Rosenbaum,M,2013-09-20,839,2013-09-24,21:45,N,1188,232,65,262,85,148,5,3,3,4,Healthy,3,3,3,Healthy,,
233A,LAC,eg,Rosenbaum,F,2014-11-07,1043,2014-11-14,9:00,Y,1614,908,89,591,98,364,1,1,1,1,Healthy,0,0,0,Healthy,,
233C,LAC,eg,Rosenbaum,M,2014-11-07,588,2014-11-12,1:00,N,781,425,79,346,86,251,1,1,1,1,Healthy,1,1,0,Healthy,,
233G,LAC,eg,Rosenbaum,F,2014-11-07,689,2014-11-10,7:00,N,730,550,92,473,78,245,2,1,1,1,Healthy,0,1,0,Healthy,,
233H,LAC,eg,Rosenbaum,F,2014-11-07,928,2014-11-13,9:30,Y,1216,353,84,78,103,316,6,2,5,5,NEC,0,3,0,NEC,,
234C,LAC,eg,Rosenbaum,M,2014-11-13,1007,2014-11-15,16:40,N,956,,,,,,2,1,3,4,NEC,,,,NA,,
234F,LAC,eg,Rosenbaum,M,2014-11-13,804,2014-11-19,14:05,Y,1105,,,,,,1,1,1,1,Healthy,,,,NA,,
234I,LAC,eg,Rosenbaum,M,2014-11-13,1067,2014-11-16,9:45,N,1089,,,,,,4,2,4,4,NEC,,,,NA,DSCF1885.jpg,Euthanized early accidentally?
234K,LAC,eg,Rosenbaum,F,2014-11-13,1100,2014-11-15,23:00,N,1116,,,,,,2,2,2,1,Healthy,,,,NA,DSCF1846.jpg,"Ruptured stomach, abnormal colon looks like villi"
234M,LAC,eg,Rosenbaum,M,2014-11-13,1319,2014-11-16,7:00,N,1363,,,,,,3,2,3,3,NEC,,,,NA,,abnormal colon looks like villi
248A,LAC,eg,Rosenbaum,F,2015-06-23,867,2015-06-29,6:15,,1270,,,,,,4,1,3,5,NEC,,,,,,
248B,LAC,eg,Rosenbaum,M,2015-06-23,426,2015-06-27,4:30,,468,,,,,,4,3,5,6,NEC,,,,,DSCF1821.jpg,Ruptured stomach
248F,LAC,eg,Rosenbaum,M,2015-06-23,744,2015-06-30,8:45,,1204,,,,,,1,1,1,1,Healthy,,,,,,
248I,LAC,eg,Rosenbaum,F,2015-06-23,787,2015-06-28,22:50,,1223,,,,,,1,1,1,1,Healthy,,,,,DSCF1843.jpg,Ruptured stomach
248K,LAC,eg,Rosenbaum,M,2015-06-23,915,2015-06-30,9:10,,1457,,,,,,1,1,1,1,Healthy,,,,,,
248L,LAC,eg,Rosenbaum,M,2015-06-23,1073,2015-06-30,7:40,,1760,,,,,,1,1,1,1,Healthy,,,,,,
248N,LAC,eg,Rosenbaum,M,2015-06-23,813,2015-06-27,0:00,,974,,,,,,1,1,1,1,Healthy,,,,,,
249B,LAC,eg,Rosenbaum,F,2015-06-24,1020,2015-06-29,15:15,,1481,,,,,,3,3,4,3,NEC,,,,,,
249F,LAC,eg,Rosenbaum,M,2015-06-24,740,2015-06-27,14:30,,789,,,,,,2,1,1,1,Healthy,,,,,,
249G,LAC,eg,Rosenbaum,M,2015-06-24,485,2015-06-28,4:45,,580,,,,,,1,3,3,2,NEC,,,,,,
249L,LAC,eg,Rosenbaum,F,2015-06-24,834,2015-07-01,7:50,,1305,,,,,,1,1,1,1,Healthy,,,,,,
249M,LAC,eg,Rosenbaum,M,2015-06-24,888,2015-06-29,16:50,,1246,,,,,,1,3,3,5,NEC,,,,,,
204B,MIX,eg,prison,M,2013-02-20,801,2013-02-26,13:00,N,1175,270,50,405,64,165,6,5,6,5,NEC,3,2,1,NEC,,
204D,MIX,eg,prison,F,2013-02-20,891,2013-02-27,9:00,Y,1500,264,97,213,100,136,1,3,6,4,NEC,3,2,2,NEC,,
204K,MIX,eg,prison,M,2013-02-20,1220,2013-02-27,11:30,Y,1850,350,123,468,129,172,1,1,1,1,Healthy,0,0,1,Healthy,,
204P,MIX,eg,prison,M,2013-02-20,937,2013-02-27,14:23,Y,1479,300,118,550,178,166,1,1,1,2,Healthy,0,1,0,Healthy,,
205D,MIX,eg,prison,M,2013-02-21,1012,2013-02-28,11:15,Y,1459,402,131,503,155,160,1,1,1,1,Healthy,0,0,0,Healthy,,
205K,MIX,eg,prison,M,2013-02-21,1123,2013-02-28,13:55,Y,1552,466,93,544,121,227,1,1,1,1,Healthy,0,0,0,Healthy,,full stomach; diet only found in proximal jejunum
205L,MIX,eg,prison,F,2013-02-21,779,2013-02-28,14:55,Y,1194,562,92,517,108,140,1,1,1,1,Healthy,0,0,0,Healthy,,full stomach; feces (diarrhea) looked like diet
206B,MIX,eg,prison,F,2013-02-22,1253,2013-02-28,3:00,N,1734,252,69,167,53,149,1,3,4,1,NEC,2,3,1,NEC,,
206K,MIX,eg,prison,M,2013-02-22,1191,2013-02-26,0:00,N,1105,243,77,358,99,159,1,1,1,1,Healthy,2,1,1,Healthy,,"stomach (no NEC) has ""cottage cheese"", hard contents; ileum has hard contents; OCT samples thawed for 5-6 hrs then refrozen"
206M,MIX,eg,prison,M,2013-02-22,1274,2013-02-26,12:15,N,1428,360,110,420,79,151,2,3,3,1,NEC,1,2,1,NEC,,
212A,MIX,eg,Rosenbaum,F,2013-08-22,1070,2013-08-27,17:30,N,1419,192,68,173,60,137,4,3,5,6,NEC,3,3,4,NEC,,
212F,MIX,eg,Rosenbaum,F,2013-08-22,1253,2013-08-29,8:05,Y,1915,479,75,552,94,325,1,1,1,1,Healthy,0,0,0,Healthy,,
212K,MIX,eg,Rosenbaum,F,2013-08-22,1186,2013-08-29,8:40,Y,1817,642,81,695,107,316,1,1,1,1,Healthy,0,0,0,Healthy,,
213A,MIX,eg,Rosenbaum,M,2013-08-26,889,2013-09-01,6:00,N,1264,210,61,NA,72,132,1,4,4,5,NEC,3,4,3,NEC,,
213B,MIX,eg,Rosenbaum,M,2013-08-26,642,2013-09-02,8:10,Y,975,542,65,556,77,178,1,1,1,1,Healthy,0,0,0,Healthy,,
213F,MIX,eg,Rosenbaum,M,2013-08-26,934,2013-09-02,9:00,Y,1348,523,109,636,113,227,1,1,1,3,Healthy,0,0,3,Healthy,,deathweight from AM; fibrin-like tissue in abdomen
213H,MIX,eg,Rosenbaum,M,2013-08-26,775,2013-08-29,6:00,N,837,179,43,170,69,173,4,4,4,2,NEC,3,3,2,NEC,,1 bad lung
233L,MIX,eg,Rosenbaum,M,2014-11-07,992,2014-11-14,10:55,Y,1530,480,84,528,96,235,1,1,1,1,Healthy,1,0,0,Healthy,,deathweight is from AM
233M,MIX,eg,Rosenbaum,M,2014-11-07,651,2014-11-12,7:40,Y,916,441,72,99,52,130,5,3,6,5,NEC,1,4,3,NEC,,deathweight is from AM; NEC only mid-SI (possibly not sampled)
234G,MIX,eg,Rosenbaum,M,2014-11-13,902,2014-11-16,17:00,N,903,,,,,,3,4,4,2,NEC,,,,NA,,green mucus attached to stomach wall
234N,MIX,eg,Rosenbaum,F,2014-11-13,1168,2014-11-15,21:00,N,1165,,,,,,2,1,1,1,Healthy,,,,NA,,
248D,MIX,eg,Rosenbaum,F,2015-06-23,802,2015-06-30,8:20,,1156,,,,,,1,1,1,3,NEC,,,,,,1 bad lung; NEC localized to mid-SI
248E,MIX,eg,Rosenbaum,M,2015-06-23,763,2015-06-29,19:15,,1119,,,,,,1,3,6,6,NEC,,,,,,
248G,MIX,eg,Rosenbaum,F,2015-06-23,819,2015-06-27,20:50,,1061,,,,,,5,2,5,3,NEC,,,,,,deathweight from AM; green mucus in stomach; ascites in abdomen; bloody jejunum contents
248M,MIX,eg,Rosenbaum,M,2015-06-23,1057,2015-06-29,12:30,,1550,,,,,,1,3,5,5,NEC,,,,,,deathweight from AM; green mucus in stomach
248Q,MIX,eg,Rosenbaum,M,2015-06-23,900,2015-06-30,10:05,,1336,,,,,,1,1,1,4,NEC,,,,,,ascites fluid; fibrin fibers in side abdomen
248R,MIX,eg,Rosenbaum,M,2015-06-23,992,2015-06-30,10:30,,1410,,,,,,1,1,1,3,NEC,,,,,,"mucus/froth from mouth; ascites found; intassuseption of SI, non-necrotic; fibrin in abdomen; green mucus in stomach"
249A,MIX,eg,Rosenbaum,M,2015-06-24,720,2015-06-27,9:10,,818,,,,,,4,5,4,5,NEC,,,,,,
249C,MIX,eg,Rosenbaum,F,2015-06-24,1056,2015-07-01,7:09,,1637,,,,,,1,1,1,1,Healthy,,,,,,"missed stomach contents; little to no colon contents, just blood"
249E,MIX,eg,Rosenbaum,F,2015-06-24,469,2015-06-29,6:25,,553,,,,,,2,3,3,4,NEC,,,,,,
249H,MIX,eg,Rosenbaum,F,2015-06-24,800,2015-06-28,18:50,,1041,,,,,,3,1,1,1,NEC,,,,,,
249I,MIX,eg,Rosenbaum,M,2015-06-24,682,2015-06-29,17:55,,939,,,,,,1,1,1,1,Healthy,,,,,,
249K,MIX,eg,Rosenbaum,F,2015-06-24,847,2015-06-28,21:35,,1134,,,,,,2,1,3,1,NEC,,,,,,
204A,NEW,NA,prison,M,2013-02-20,1446,2013-02-20,NA,Y,1446,390,84,556,101,252,NA,NA,NA,NA,NA,NA,NA,NA,NA,,
204F,NEW,NA,prison,F,2013-02-20,678,2013-02-20,NA,Y,678,325,80,347,85,124,NA,NA,NA,NA,NA,NA,NA,NA,NA,,
205A,NEW,NA,prison,F,2013-02-21,725,2013-02-21,NA,Y,725,452,78,433,115,232,NA,NA,NA,NA,NA,NA,NA,NA,NA,,
205F,NEW,NA,prison,M,2013-02-21,1384,2013-02-21,NA,Y,1384,423,92,410,149,128,NA,NA,NA,NA,NA,NA,NA,NA,NA,,
206I,NEW,NA,prison,M,2013-02-22,1049,2013-02-22,NA,Y,1049,334,62,474,92,162,NA,NA,NA,NA,NA,NA,NA,NA,NA,,
206L,NEW,NA,prison,M,2013-02-22,1424,2013-02-22,NA,Y,1424,406,70,499,90,134,NA,NA,NA,NA,NA,NA,NA,NA,NA,,
212D,NEW,NA,Rosenbaum,M,2013-08-22,717,2013-08-22,NA,Y,717,361,59,505,68,94,NA,NA,NA,NA,NA,NA,NA,NA,NA,,
213D,NEW,NA,Rosenbaum,F,2013-08-26,624,2013-08-26,NA,Y,624,349,54,246,70,245,NA,NA,NA,NA,NA,NA,NA,NA,NA,,
213I,NEW,NA,Rosenbaum,F,2013-08-26,443,2013-08-26,NA,Y,443,304,60,384,72,292,NA,NA,NA,NA,NA,NA,NA,NA,NA,,
214D,NEW,NA,Rosenbaum,F,2013-09-19,722,2013-09-19,NA,Y,722,231,65,255,74,310,NA,NA,NA,NA,NA,NA,NA,NA,NA,,
228A,NEW,NA,Rosenbaum,F,2014-06-25,955,2014-06-25,NA,Y,955,,,,,,NA,NA,NA,NA,NA,NA,NA,NA,NA,,
228B,NEW,NA,Rosenbaum,F,2014-06-25,820,2014-06-25,NA,Y,820,,,,,,NA,NA,NA,NA,NA,NA,NA,NA,NA,,
228C,NEW,NA,Rosenbaum,F,2014-06-25,1034,2014-06-25,NA,Y,1034,,,,,,NA,NA,NA,NA,NA,NA,NA,NA,NA,,
228D,NEW,NA,Rosenbaum,F,2014-06-25,440,2014-06-25,NA,Y,440,,,,,,NA,NA,NA,NA,NA,NA,NA,NA,NA,,
228E,NEW,NA,Rosenbaum,M,2014-06-25,1006,2014-06-25,NA,Y,1006,,,,,,NA,NA,NA,NA,NA,NA,NA,NA,NA,,red duodenum
228F,NEW,NA,Rosenbaum,M,2014-06-25,497,2014-06-25,NA,Y,497,,,,,,NA,NA,NA,NA,NA,NA,NA,NA,NA,,
228G,NEW,NA,Rosenbaum,F,2014-06-25,962,2014-06-25,NA,Y,962,,,,,,NA,NA,NA,NA,NA,NA,NA,NA,NA,,
228H,NEW,NA,Rosenbaum,F,2014-06-25,543,2014-06-25,NA,Y,543,,,,,,NA,NA,NA,NA,NA,NA,NA,NA,NA,,
228I,NEW,NA,Rosenbaum,M,2014-06-25,1008,2014-06-25,NA,Y,1008,,,,,,NA,NA,NA,NA,NA,NA,NA,NA,NA,,
228K,NEW,NA,Rosenbaum,M,2014-06-25,751,2014-06-25,NA,Y,751,,,,,,NA,NA,NA,NA,NA,NA,NA,NA,NA,,
228L,NEW,NA,Rosenbaum,F,2014-06-25,746,2014-06-25,NA,Y,746,,,,,,NA,NA,NA,NA,NA,NA,NA,NA,NA,,
228M,NEW,NA,Rosenbaum,M,2014-06-25,1008,2014-06-25,NA,Y,1008,,,,,,NA,NA,NA,NA,NA,NA,NA,NA,NA,,
